trip_id,route_short_name,trip_headsign,stop_sequence,stop_name,minutes_to_stop,arrival_time,stop_lat,stop_lon
001,001,"Scharnebeck, Schulzentrum",0,"Hohnstorf, Schule",0.0,05:18:18,53.361456858031545,10.564016379586299
001,001,"Scharnebeck, Schulzentrum",1,"Hohnstorf, Triftweg",0.6,05:18:54,53.36040118798624,10.56157064489157
001,001,"Scharnebeck, Schulzentrum",2,"Bullendorf bei Echem, Am Buscheberg",2.7,05:21:36,53.34709121311702,10.57292692553214
001,001,"Scharnebeck, Schulzentrum",3,"Bullendorf bei Echem, Brücke",0.8,05:22:24,53.34490223415616,10.56647547266119
001,001,"Scharnebeck, Schulzentrum",4,"Echem, Schulstraße",2.9,05:25:18,53.337679517704274,10.543137267666603
001,001,"Scharnebeck, Schulzentrum",5,"Neu Jörgenstorf, Birkenweg",11.4,05:36:42,53.31096511254193,10.616247249897581
001,001,"Scharnebeck, Schulzentrum",6,"Jürgenstorf, Jürgenstorfer Straße",3.2,05:39:54,53.32328402702604,10.597436909402216
001,001,"Scharnebeck, Schulzentrum",7,"Neu Jörgenstorf, Ahrenschulter",3.0,05:42:54,53.316167302833655,10.624044696526706
001,001,"Scharnebeck, Schulzentrum",8,"Rosenthal, Ortsmitte",1.7,05:44:36,53.31123640554015,10.633606209893076
001,001,"Scharnebeck, Schulzentrum",9,"Neu Jörgenstorf, Rosenthaler Weg",2.1,05:46:42,53.307549035047565,10.61690000007449
001,001,"Scharnebeck, Schulzentrum",10,"Neu Jörgenstorf, Ort",0.2,05:46:54,53.30731803492725,10.614730995816979
001,001,"Scharnebeck, Schulzentrum",11,Neumühlen bei Rullstorf,6.0,05:52:54,53.287374671854536,10.585916136796468
001,001,"Scharnebeck, Schulzentrum",12,"Boltersen, Bahnhof",1.8,05:54:42,53.28589970355295,10.569941324505692
001,001,"Scharnebeck, Schulzentrum",13,"Boltersen, Bahnhofstraße",1.8,05:56:30,53.27572466454434,10.566357696823124
001,001,"Scharnebeck, Schulzentrum",14,"Boltersen, Rullstorfer Straße",0.1,05:56:36,53.27503992806604,10.566411578508236
001,001,"Scharnebeck, Schulzentrum",15,"Neetze, Neetzebrücke",7.2,06:03:48,53.26511033142159,10.615181220209102
001,001,"Scharnebeck, Schulzentrum",16,"Neetze, Am Ried",2.5,06:06:18,53.273434294907645,10.619863401818712
001,001,"Scharnebeck, Schulzentrum",17,"Neetze, Grundschule",2.3,06:08:36,53.261914178939186,10.627720900571747
001,001,"Scharnebeck, Schulzentrum",18,"Neetze, Am Jahnstadion",1.3,06:09:54,53.26693614567719,10.632428886375273
