trip_id,route_short_name,trip_headsign,stop_sequence,stop_name,minutes_to_stop,arrival_time,stop_lat,stop_lon
N1_North,N1,"Scharnebeck, Schulzentrum",0,"Garze, Große Straße 71",0,05:33:00,612240.047,5907944.401
N1_North,N1,"Scharnebeck, Schulzentrum",1,"Karze, An den Hauskoppeln",1,05:34:00,611574.235,5908500.557
N1_North,N1,"Scharnebeck, Schulzentrum",2,"Karze, Am Rotdorn",0,05:35:00,611606.475,5908678.363
N1_North,N1,"Scharnebeck, Schulzentrum",3,"Brackede, Abzweig Garlstorf",6,05:41:00,613144.266,5912356.438
N1_North,N1,"Scharnebeck, Schulzentrum",4,"Garlstorf bei Bleckede, Neu Brackede",1,05:42:00,612575.29,5912397.815
N1_North,N1,"Scharnebeck, Schulzentrum",5,"Garlstorf bei Bleckede, Dorfstraße 36",1,05:43:00,611611.799,5912516.036
N1_North,N1,"Scharnebeck, Schulzentrum",6,"Garlstorf bei Bleckede, Dorfstraße 68",1,05:44:00,611143.249,5912634.262
N1_North,N1,"Scharnebeck, Schulzentrum",7,"Wendewisch, Campingplatz",3,05:47:00,609822.719,5913450.358
N1_North,N1,"Scharnebeck, Schulzentrum",8,"Wendewisch, Hittberger Straße 56",3,05:50:00,608758.175,5911841.079
N1_North,N1,"Scharnebeck, Schulzentrum",9,"Hittbergen, Feldstraße",5,05:54:00,606187.456,5911762.124
N1_North,N1,"Scharnebeck, Schulzentrum",10,"Hittbergen, Im Kamp",1,05:56:00,605254.687,5911817.184
N1_North,N1,"Scharnebeck, Schulzentrum",11,"Bullendorf bei Echem, Am Buscheberg",1,05:57:00,604707.453,5912035.881
N1_North,N1,"Scharnebeck, Schulzentrum",12,"Hohnstorf, Triftweg",3,06:00:00,603919.152,5913499.844
N1_North,N1,"Scharnebeck, Schulzentrum",13,"Hohnstorf, Am Sportzentrum",1,06:01:00,603181.504,5913931.068
N1_North,N1,"Scharnebeck, Schulzentrum",14,"Hohnstorf, Dorfstraße",0,06:01:00,603247.247,5914110.093
